departure,arrival,time_of_year,price
DEN,IAD,2026.5,278.0969000000005
DEN,HOU,2026.5,182.0515000000001
DEN,IAH,2026.5,232.38030000000012
DEN,EWR,2026.5,296.3382000000002
DEN,HPN,2026.5,260.56779999999964
DEN,ISP,2026.5,280.8154000000001
DEN,JFK,2026.5,240.7834999999997
DEN,LGA,2026.5,244.13220000000015
DEN,SWF,2026.5,116.25130000000011
DEN,OAK,2026.5,227.3266
DEN,SFO,2026.5,279.48279999999966
DEN,SJC,2026.5,227.8525000000002
DEN,FLL,2026.5,258.1849000000004
DEN,MIA,2026.5,237.57229999999996
DEN,BUR,2026.5,210.22500000000025
DEN,LAX,2026.5,198.85380000000004
DEN,LGB,2026.5,157.54959999999994
DEN,ONT,2026.5,164.41290000000023
DEN,SNA,2026.5,202.5079
DEN,TPA,2026.5,232.1525999999998
DEN,ORF,2026.5,261.4772999999999
DEN,PHF,2026.5,308.85330000000044
ATL,DAL,2026.5,212.81719999999964
ATL,DFW,2026.5,231.89900000000023
ATL,PHX,2026.5,307.8387999999997
ATL,CAK,2026.5,251.05710000000013
ATL,CLE,2026.5,184.0366
ATL,BOS,2026.5,231.5763000000001
ATL,MHT,2026.5,256.4205999999996
ATL,PVD,2026.5,291.6810000000003
ATL,BWI,2026.5,169.96269999999976
ATL,DCA,2026.5,224.24639999999965
ATL,IAD,2026.5,216.1250000000001
ATL,MDW,2026.5,169.3262999999998
ATL,ORD,2026.5,209.51130000000023
ATL,CMH,2026.5,215.04740000000027
ATL,HOU,2026.5,206.8340000000001
ATL,IAH,2026.5,202.4001
ATL,EWR,2026.5,195.10559999999987
ATL,HPN,2026.5,244.77729999999977
ATL,ISP,2026.5,202.15550000000013
ATL,JFK,2026.5,213.2253000000001
ATL,LGA,2026.5,190.0242000000001
ATL,SWF,2026.5,84.52459999999992
ATL,OAK,2026.5,251.10710000000032
ATL,SFO,2026.5,355.1165999999999
ATL,SJC,2026.5,372.72970000000015
ATL,FLL,2026.5,157.10490000000016
