Predicted Passengers,Source Airport,Destination Airport,Quarter Year,Largest Carrier,Predicted Fare,carrier_lg,Revenue
677.67,RSW,JFK,2024.25,B6,199.42079999999996,B6,135141.49353599997
2188.73,DFW,LAS,2024.25,AA,247.35019999999977,AA,541382.8032459995
178.85,CHS,IAH,2024.25,UA,277.4937999999999,UA,49629.76612999998
2309.03,DFW,LAX,2024.25,AA,249.23220000000015,AA,575484.6267660004
122.32,RSW,ISP,2024.25,WN,173.1207,WN,21176.124023999997
210.07,CMH,BNA,2024.25,WN,204.1703000000001,WN,42890.054921000024
54.4,RSW,SNA,2024.25,AA,487.7860000000004,AA,26535.55840000002
21.61,SWF,RDU,2024.25,AA,105.83929999999998,AA,2287.1872729999995
16.21,RSW,SWF,2024.25,AA,105.8936999999999,AA,1716.5368769999984
399.0,CMH,EWR,2024.25,UA,224.4973999999999,UA,89574.46259999997
78.39,SWF,PIE,2024.25,G4,115.73800000000008,G4,9072.701820000008
15.53,CAE,JFK,2024.25,AA,261.00459999999987,AA,4053.4014379999976
1790.87,DFW,EWR,2024.25,UA,251.1381,UA,449755.68914699997
2023.61,SAN,SFO,2024.25,WN,182.1394000000004,WN,368579.11123400077
164.11,CMH,HOU,2024.25,WN,241.4555,WN,39625.262105
2.59,CAE,ISP,2024.25,AA,245.1560999999998,AA,634.9542989999994
1452.33,SAN,OAK,2024.25,WN,158.54770000000025,WN,230263.58114100035
6.36,SWF,PIT,2024.25,AA,105.06329999999998,AA,668.2025879999999
1050.08,DFW,FLL,2024.25,AA,209.6638999999999,AA,220163.86811199988
216.35,DFW,GRR,2024.25,AA,317.9485999999999,AA,68788.17960999998
657.74,CMH,FLL,2024.25,WN,188.54499999999993,WN,124013.58829999996
1013.88,SAN,IAD,2024.25,UA,301.3396000000002,UA,305522.1936480002
58.89,CAE,IAD,2024.25,UA,214.11310000000023,UA,12609.120459000014
182.18,CHS,IAD,2024.25,UA,229.80509999999995,UA,41865.89311799999
348.56,SAN,DCA,2024.25,AA,292.1272999999999,AA,101823.89168799996
2.57,SWF,PSP,2024.25,AA,260.6486999999998,AA,669.8671589999994
213.49,DFW,GSP,2024.25,AA,321.84550000000024,AA,68710.79579500006
2316.47,ATL,BOS,2024.25,DL,231.5763000000001,DL,536439.5516610001
1.81,SWF,PWM,2024.25,AA,106.6779,AA,193.086999
66.87,SWF,MCO,2024.25,B6,108.5434999999999,B6,7258.303844999993
456.73,SLC,SJC,2024.25,DL,209.94979999999995,DL,95890.37215399998
0.19,CAK,BWI,2024.25,AA,318.8942999999997,AA,60.58991699999994
233.36,CMH,MIA,2024.25,AA,263.68370000000016,AA,61533.22823200004
574.87,MIA,SLC,2024.25,AA,334.98580000000004,AA,192573.28684600003
7.6,LAX,PHF,2024.25,AA,409.4053000000002,AA,3111.480280000001
676.28,LAX,RNO,2024.25,WN,155.9796000000003,WN,105485.88388800019
49.91,BDL,SNA,2024.25,AA,457.6983999999999,AA,22843.727143999993
834.62,LAX,SAT,2024.25,WN,207.79210000000015,WN,173427.44250200014
221.41,LAX,SDF,2024.25,AA,265.9368999999997,AA,58881.08902899993
1.96,LAX,SWF,2024.25,AA,108.2280999999999,AA,212.1270759999998
138.79,LAX,STS,2024.25,AS,184.1375999999999,AS,25556.457503999987
1318.93,MIA,PHL,2024.25,AA,237.5350000000001,AA,313292.0375500002
639.65,LAX,STL,2024.25,WN,302.6792,WN,193608.75027999998
723.95,BDL,TPA,2024.25,WN,175.8879999999998,WN,127334.11759999987
1075.38,LAX,SMF,2024.25,WN,177.2726000000001,WN,190635.40858800014
746.87,MIA,PHX,2024.25,AA,359.7731000000006,AA,268703.7351970005
563.05,BOS,IAD,2024.25,UA,179.5697999999997,UA,101106.77588999983
2169.06,LAX,SLC,2024.25,DL,168.89469999999983,DL,366342.73798199964
343.19,MIA,PIT,2024.25,AA,232.4202000000001,AA,79764.28843800003
1885.26,BOS,FLL,2024.25,B6,209.0664000000001,B6,394144.5212640002
811.33,MIA,RDU,2024.25,AA,195.7306999999997,AA,158802.18883099977
4046.69,LAX,SFO,2024.25,AS,145.75310000000027,AS,589817.6122390011
3606.94,LAX,SEA,2024.25,AS,177.04949999999974,AS,638606.9235299991
203.8,MIA,RIC,2024.25,AA,234.8691999999998,AA,47866.342959999965
3.72,MSN,ISP,2024.25,AA,305.80410000000035,AA,1137.5912520000013
871.77,LAS,LGB,2024.25,B6,115.96620000000024,B6,101095.85417400021
241.77,LAS,LGA,2024.25,AA,244.38539999999983,AA,59085.05815799996
197.4,JAX,ORF,2024.25,AA,203.95600000000024,AA,40260.91440000005
63.22,JAX,SNA,2024.25,AA,373.8756,AA,23636.415432
32.51,JAX,SJC,2024.25,DL,359.3698999999997,DL,11683.11544899999
390.78,MYR,EWR,2024.25,UA,136.43829999999988,UA,53317.358873999954
1622.1,LAX,SJC,2024.25,WN,142.16400000000024,WN,230604.22440000038
158.22,JAX,SFO,2024.25,DL,349.1982000000004,DL,55250.13920400006
65.71,MIA,SJC,2024.25,AA,286.4799000000004,AA,18824.594229000024
41.11,BOS,HPN,2024.25,9K,155.75590000000014,9K,6403.125049000006
66.92,MIA,HPN,2024.25,DL,251.0206999999998,DL,16798.30524399999
233.82,LGA,PHX,2024.25,AA,288.8465999999995,AA,67538.11201199988
233.74,MIA,IAD,2024.25,UA,236.23199999999972,UA,55216.86767999994
3.23,LGA,PHF,2024.25,AA,249.5932,AA,806.186036
2794.06,BOS,DCA,2024.25,AA,168.53380000000007,AA,470893.54922800016
63.69,LGA,PDX,2024.25,UA,316.29129999999964,UA,20144.592896999977
344.18,MIA,MCO,2024.25,AA,194.46629999999988,AA,66931.41113399997
133.84,BHM,BWI,2024.25,WN,220.89800000000017,WN,29564.988320000022
2127.03,LGA,PBI,2024.25,DL,228.4447999999997,DL,485908.9429439994
2887.71,MIA,JFK,2024.25,AA,219.64479999999995,AA,634270.4854079998
255.04,LGA,ORF,2024.25,DL,190.34549999999984,DL,48545.716319999956
259.55,LGA,OMA,2024.25,DL,283.9284000000005,DL,73693.61622000014
3262.9,MIA,LGA,2024.25,AA,222.52640000000025,AA,726081.3905600008
1387.83,LAX,PHL,2024.25,AA,356.9828000000001,AA,495431.43932400015
1832.58,BOS,DEN,2024.25,UA,255.35530000000008,UA,467959.01567400014
218.6,MIA,PDX,2024.25,AA,313.5104999999995,AA,68533.39529999989
1088.03,BOS,EWR,2024.25,UA,177.37020000000012,UA,192984.09870600014
31.33,BDL,SJC,2024.25,DL,395.11349999999993,DL,12378.905954999997
385.63,MIA,SAN,2024.25,AA,310.9255999999998,AA,119902.23912799993
80.3,BOS,HOU,2024.25,WN,242.74160000000032,WN,19492.150480000026
214.42,MIA,SAT,2024.25,AA,281.1710000000002,AA,60288.68582000004
226.45,LAX,RIC,2024.25,AA,318.3015999999996,AA,72079.3973199999
601.42,LAX,RDU,2024.25,DL,373.58919999999966,DL,224684.0166639998
428.62,MIA,SEA,2024.25,AA,334.7985000000002,AA,143501.33307000008
471.21,LAX,PIT,2024.25,NK,220.78380000000013,NK,104035.53439800006
1896.99,LAX,PHX,2024.25,WN,177.1523,WN,336056.141577
9.59,MIA,PHF,2024.25,AA,270.0473,AA,2589.753607
910.7,MIA,SFO,2024.25,AA,355.32370000000026,AA,323593.29359000025
940.54,LAX,TPA,2024.25,DL,302.0422999999997,DL,284082.8648419997
578.02,LGA,PIT,2024.25,DL,209.31750000000008,DL,120989.70135000005
146.55,BOS,ORF,2024.25,DL,236.41879999999972,DL,34647.17513999996
8.18,JAX,PHF,2024.25,AA,329.68279999999965,AA,2696.805303999997
306.24,ISP,TPA,2024.25,WN,172.16429999999983,WN,52723.59523199995
38.84,OAK,TPA,2024.25,WN,269.5034999999996,WN,10467.515939999985
1338.92,BOS,PHL,2024.25,AA,197.81679999999977,AA,264860.8698559997
18.66,AVL,SWF,2024.25,AA,105.8936999999999,AA,1975.976441999998
95.2,OAK,TUS,2024.25,WN,197.0181000000001,WN,18756.123120000007
1347.96,BOS,PHX,2024.25,AA,291.9974,AA,393600.81530400005
65.14,OKC,BWI,2024.25,WN,284.02860000000027,WN,18501.62300400002
2.01,ISP,TUS,2024.25,AA,496.92250000000007,AA,998.8142250000001
281.33,OKC,DCA,2024.25,WN,242.71440000000032,WN,68282.84215200008
82.73,MYR,SWF,2024.25,G4,107.53899999999992,G4,8896.701469999993
1.2,ISP,SYR,2024.25,AA,213.39149999999984,AA,256.0697999999998
26.98,OKC,IAD,2024.25,UA,339.0584000000002,UA,9147.795632000005
9.13,ISP,STL,2024.25,WN,273.7044000000001,WN,2498.9211720000008
498.77,JAX,LGA,2024.25,DL,213.09270000000015,DL,106284.24597900007
18.8,ISP,SRQ,2024.25,AA,265.9483000000001,AA,4999.828040000001
14.57,OKC,OAK,2024.25,WN,245.59500000000017,WN,3578.3191500000025
346.12,OKC,PHX,2024.25,WN,260.8336000000001,WN,90279.72563200003
15.07,JAX,BUR,2024.25,AA,351.8130000000003,AA,5301.821910000004
424.48,JAX,BWI,2024.25,WN,220.88799999999975,WN,93762.53823999989
133.53,OAK,STL,2024.25,WN,273.48319999999967,WN,36518.211695999955
516.22,JAX,DCA,2024.25,AA,210.3683000000001,AA,108596.32382600005
238.86,JAX,LAX,2024.25,AA,340.5198999999998,AA,81336.58331399994
435.54,BOS,PDX,2024.25,AS,314.73339999999996,AS,137078.985036
209.65,OAK,BWI,2024.25,WN,254.13449999999983,WN,53279.29792499997
675.93,JAX,JFK,2024.25,B6,198.6737,B6,134289.514041
66.88,OAK,DCA,2024.25,WN,264.0923,WN,17662.493024
21.84,JAX,ISP,2024.25,WN,234.0819999999998,WN,5112.350879999995
313.22,JAX,IAD,2024.25,UA,204.60540000000003,UA,64086.50338800001
639.08,BOS,PIT,2024.25,B6,198.5289,B6,126875.84941200001
7.67,MYR,HPN,2024.25,AA,247.7804,AA,1900.4756679999998
350.57,MYR,LGA,2024.25,NK,138.9724000000002,NK,48719.554268000065
277.47,AZA,PVU,2024.25,G4,87.63350000000011,G4,24315.667245000033
10.93,AZA,OAK,2024.25,G4,106.96819999999988,G4,1169.1624259999987
2356.62,BOS,ORD,2024.25,AA,200.98199999999983,AA,473638.2008399996
43.9,JAX,ONT,2024.25,AA,367.85619999999994,AA,16148.887179999998
